"Motu","TransectStart","TransectEnd","avg_breeding_density_ha_transect","std_breeding_density_ha_transect","avg_breeding_biomass_kgha_transect","std_breeding_biomass_kgha_transect","Latitude_Start","Longitude_Start","Latitude_End","Longitude_End"
"Auroa","0552","0540",1380,254.558441227157,1345.5,248.194480196478,-16.9884926453233,-149.563374454156,-16.9891556538641,-149.562811022624
"Hiraanae","0511","0513",1100,367.695526217005,1072.5,358.50313806158,-16.9908339623362,-149.552686940879,-16.9899909943342,-149.552594907582
"Hiraanae","0513","0515",520,169.705627484771,507,165.462986797652,-16.9899909943342,-149.552594907582,-16.9891239702702,-149.552386952564
"Hiraanae","0515","0516",180,84.8528137423857,175.5,82.731493398826,-16.9891239702702,-149.552386952564,-16.9882680103183,-149.552102889866
"Hiraanae","0516","0517",1560,339.411254969543,1534.56,330.925973595304,-16.9882680103183,-149.552102889866,-16.9873969629407,-149.551815893501
"Hiraanae","0517","0518",1060,141.42135623731,1040.28,128.297454378487,-16.9873969629407,-149.551815893501,-16.9867919571698,-149.551836932078
"Hiraanae","0518","0519",1500,141.42135623731,1489.62,118.709086425597,-16.9867919571698,-149.551836932078,-16.9866099860519,-149.55275692977
"Hiraanae","0519","0520",2280,1018.23376490863,2358.6,1088.66160031481,-16.9866099860519,-149.55275692977,-16.986316954717,-149.553650943562
"Hiraanae","0520","0521",3060,1499.06637611548,3153.98,1530.09422167395,-16.986316954717,-149.553650943562,-16.9859779905528,-149.554521907121
"Hiraanae","0521","0522",3280,1357.64501987817,3396.3,1335.66814111889,-16.9859779905528,-149.554521907121,-16.9858339894563,-149.555471912026
"Hiraanae","0522","0523",2460,763.675323681471,2520.54,725.406704683656,-16.9858339894563,-149.555471912026,-16.985531989485,-149.556368943304
"Hiraanae","0523","0524",1520,56.5685424949236,1502.34,45.5659609796612,-16.985531989485,-149.556368943304,-16.9852839689702,-149.557288940996
"Hiraanae","0524","0525",1600,169.705627484771,1607.46,194.228090656321,-16.9852839689702,-149.557288940996,-16.9849639479071,-149.558167951182
"Hiraanae","0525","0527",420,141.42135623731,409.5,137.885822331377,-16.9849639479071,-149.558167951182,-16.9852269720286,-149.558419911191
"Hiraanae","0527","0528",1120,113.137084989848,1092,110.308657865101,-16.9852269720286,-149.558419911191,-16.985819991678,-149.559137905017
"Hiraanae","0528","0529",1600,395.979797464467,1560,386.080302527855,-16.985819991678,-149.559137905017,-16.9865789730102,-149.559612907469
"Hiraanae","0529","0530",1420,28.2842712474617,1384.5,27.5771644662754,-16.9865789730102,-149.559612907469,-16.9873890001327,-149.56003091298
"Hiraanae","0530","0531",440,0,429,0,-16.9873890001327,-149.56003091298,-16.9882139470428,-149.560420922935
"Hiraanae","0531","0532",1813.33333333333,877.572409168231,1768,855.633098939025,-16.9882139470428,-149.560420922935,-16.9891099724919,-149.560358896852
"Hiraanae","0532","0532corner",800,NA,780,NA,-16.98910997,-149.5603589,-16.98935799,-149.5596539
"Hiraanae","0532corner","0533",640,NA,624,NA,-16.98935799,-149.5596539,-16.98903395,-149.5587269
"Hiraanae","0533","0534",160,56.5685424949238,156,55.1543289325507,-16.9890339486301,-149.558726940304,-16.9887189567089,-149.557854887098
"Hiraanae","0534","0535",260,28.2842712474619,253.5,27.5771644662754,-16.9887189567089,-149.557854887098,-16.9887779653072,-149.556911922991
"Hiraanae","0535","0536",300,28.2842712474619,292.5,27.5771644662754,-16.9887779653072,-149.556911922991,-16.9891859963536,-149.556078929454
"Hiraanae","0536","0537",140,28.2842712474619,136.5,27.5771644662754,-16.9891859963536,-149.556078929454,-16.9895559735596,-149.555040914565
