"Motu","Transect","Transect_Start","Transect_End","avg_breeding_density_ha_transect","std_breeding_density_ha_transect","avg_breeding_biomass_kgha_transect","std_breeding_biomass_kgha_transect","Latitude","Longitude","Start_or_End"
"Auroa","0544to0545","0544","0545",740,28.2842712474619,741.84,1.18793939239344,-16.9852670375258,-149.56276726909,"End"
"Auroa","0545to0546","0545","0546",380,28.2842712474619,384.06,46.7539003720545,-16.9852670375258,-149.56276726909,"Start"
"Auroa","0545to0546","0545","0546",380,28.2842712474619,384.06,46.7539003720545,-16.9850499462336,-149.562914622948,"End"
"Auroa","0547to0548","0547","0548",1600,169.705627484771,1587.12,146.286250891873,-16.9850574899465,-149.563020067289,"Start"
"Auroa","0547to0548","0547","0548",1600,169.705627484771,1587.12,146.286250891873,-16.9859211612493,-149.563213270158,"End"
"Auroa","0548to0549","0548","0549",2060,537.401153701776,2008.5,523.966124859232,-16.9859211612493,-149.563213270158,"Start"
"Auroa","0548to0549","0548","0549",2060,537.401153701776,2008.5,523.966124859232,-16.986768823117,-149.563494818285,"End"
"Auroa","0549to0550","0549","0550",880,169.705627484771,858,165.462986797652,-16.986768823117,-149.563494818285,"Start"
"Auroa","0549to0550","0549","0550",880,169.705627484771,858,165.462986797652,-16.9876417983323,-149.56370905973,"End"
"Auroa","0550to0552","0550","0552",80,NA,78,NA,-16.9876417983323,-149.56370905973,"Start"
"Auroa","0550to0552","0550","0552",80,NA,78,NA,-16.9884926453233,-149.563374454156,"End"
"Auroa","0552to0540","0552","0540",1380,254.558441227157,1345.5,248.194480196478,-16.9884926453233,-149.563374454156,"Start"
"Auroa","0552to0540","0552","0540",1380,254.558441227157,1345.5,248.194480196478,-16.9891556538641,-149.562811022624,"End"
"Hiraanae","0511to0513","0511","0513",1100,367.695526217005,1072.5,358.50313806158,-16.9908339623362,-149.552686940879,"Start"
"Hiraanae","0511to0513","0511","0513",1100,367.695526217005,1072.5,358.50313806158,-16.9899909943342,-149.552594907582,"End"
"Hiraanae","0513to0515","0513","0515",520,169.705627484771,507,165.462986797652,-16.9899909943342,-149.552594907582,"Start"
"Hiraanae","0513to0515","0513","0515",520,169.705627484771,507,165.462986797652,-16.9891239702702,-149.552386952564,"End"
"Hiraanae","0515to0516","0515","0516",180,84.8528137423857,175.5,82.731493398826,-16.9891239702702,-149.552386952564,"Start"
"Hiraanae","0515to0516","0515","0516",180,84.8528137423857,175.5,82.731493398826,-16.9882680103183,-149.552102889866,"End"
"Hiraanae","0516to0517","0516","0517",1560,339.411254969543,1534.56,330.925973595304,-16.9882680103183,-149.552102889866,"Start"
"Hiraanae","0516to0517","0516","0517",1560,339.411254969543,1534.56,330.925973595304,-16.9873969629407,-149.551815893501,"End"
"Hiraanae","0517to0518","0517","0518",1060,141.42135623731,1040.28,128.297454378487,-16.9873969629407,-149.551815893501,"Start"
"Hiraanae","0517to0518","0517","0518",1060,141.42135623731,1040.28,128.297454378487,-16.9867919571698,-149.551836932078,"End"
"Hiraanae","0518to0519","0518","0519",1500,141.42135623731,1489.62,118.709086425597,-16.9867919571698,-149.551836932078,"Start"
"Hiraanae","0518to0519","0518","0519",1500,141.42135623731,1489.62,118.709086425597,-16.9866099860519,-149.55275692977,"End"
"Hiraanae","0519to0520","0519","0520",2280,1018.23376490863,2358.6,1088.66160031481,-16.9866099860519,-149.55275692977,"Start"
"Hiraanae","0519to0520","0519","0520",2280,1018.23376490863,2358.6,1088.66160031481,-16.986316954717,-149.553650943562,"End"
"Hiraanae","0520to0521","0520","0521",3060,1499.06637611548,3153.98,1530.09422167395,-16.986316954717,-149.553650943562,"Start"
"Hiraanae","0520to0521","0520","0521",3060,1499.06637611548,3153.98,1530.09422167395,-16.9859779905528,-149.554521907121,"End"
"Hiraanae","0521to0522","0521","0522",3280,1357.64501987817,3396.3,1335.66814111889,-16.9859779905528,-149.554521907121,"Start"
"Hiraanae","0521to0522","0521","0522",3280,1357.64501987817,3396.3,1335.66814111889,-16.9858339894563,-149.555471912026,"End"
"Hiraanae","0522to0523","0522","0523",2460,763.675323681471,2520.54,725.406704683656,-16.9858339894563,-149.555471912026,"Start"
"Hiraanae","0522to0523","0522","0523",2460,763.675323681471,2520.54,725.406704683656,-16.985531989485,-149.556368943304,"End"
"Hiraanae","0523to0524","0523","0524",1520,56.5685424949236,1502.34,45.5659609796612,-16.985531989485,-149.556368943304,"Start"
"Hiraanae","0523to0524","0523","0524",1520,56.5685424949236,1502.34,45.5659609796612,-16.9852839689702,-149.557288940996,"End"
"Hiraanae","0524to0525","0524","0525",1600,169.705627484771,1607.46,194.228090656321,-16.9852839689702,-149.557288940996,"Start"
"Hiraanae","0524to0525","0524","0525",1600,169.705627484771,1607.46,194.228090656321,-16.9849639479071,-149.558167951182,"End"
"Hiraanae","0525to0527","0525","0527",420,141.42135623731,409.5,137.885822331377,-16.9849639479071,-149.558167951182,"Start"
